Question,Answer,Explanation
Which of the following is Autosomal dominant disorder,Ans. (a) Bests disease 33.,No explanation provided.
Which of the following disease is X- linked,Ans. (b) Color blindness,"(Ref: Robbins 9th ed and NCERT)    The most common cause of color blindness is an inherited  fault in the development of one or more of the three sets  of color sensing cones in the eye. Males are more likely to  be color blind than females, as the gene responsible for  the most common forms of color blindness are on the X  chromosome. 34."
"All of the following are autosomal dominant, except",Ans. (b) Congenital adrenal hyperplasia,"(Ref: Robbins 9th ed 1128)   Congenital adrenal hyperplasia stems from several  autosomal recessive, inherited metabolic errors, each  characterized by a deficiency or total lack of a particular  enzyme involved in the biosynthesis of cortical steroids,  particularly cortisol. 35."
Which of the following is true regarding ataxia telangiectasia,Ans. (b) It is autosomal recessive disorder,"(Ref: Robbins 9th ed p 315)   Several rare autosomal recessive cancer syndromes have  been described that are characterized by hypersensitivity  to certain kinds of DNA-damaging agents, such as ionizing  radiation (Bloom syndrome and ataxia-telangiectasia), or  DNA cross-linking agents, such as many chemotherapeutic  drugs (Fanconi anemia). The phenotype of these diseases  is complex and includes, in addition to predisposition  to cancer, features such as neural symptoms (ataxia- telangiectasia), bone marrow aplasia (Fanconi anemia),  and developmental defects (Bloom syndrome). Complete Review of Pathology 126 Answers with Explanations 36."
Which of the following is the gene for Duchenne muscular dystrophy,Ans. (d) Dystrophin gene,"(Ref: Robbins 9th ed p 1242)   Duchenne and Becker muscular dystrophy are caused by  loss-of-function mutations in the dystrophin gene on the  X chromosome. Dystrophin is one of the largest human  genes, spanning 2.3 million base pairs and composed  of 79 exons. The encoded protein, dystrophin, is a key  component of the dystrophin glycoprotein complex (DGC) 37.  (a) Autosomal dominant   Xeroderma pigmentosa is autosomal recessive disease. 38."
Xeroderma pigmentosa all true except,Ans. (a) PTEN 39.,No explanation provided.
An obese women with T2 diabetes and hypertension had endometrial ca.Which of the following gene is involved,"Ans. (a) 14q   SERPINA1 gene provides instructions for making a protein  called alpha-1 antitrypsin, which is a type of serine protease  inhibitor (serpin). Cytogenetic Location: 14q32.13, which is  the long (q) arm of chromosome 14 at position 32.13 40.",No explanation provided.
Locations of gene which codes for alpha 1 anti-trypsin deficiency,"Ans. (a, b, c) a.  Hypophosphatemic rickets- X linked  dominant b. Duchenne muscular dytrophy- X linked  recessive d. Sickle cell: AR 41.",No explanation provided.
Find Correct match among the following,"Ans. (a, b) a. Sickle cell anaemia b. Phenylketonuria",(Ref: Robbins 9th/141) 42.
Autosomal recessive disease,"Ans. (a, b, c, e) a. Nondisjunctional of maternal  chromosome b. Nondisjunctional of paternal  chromosome c. Translocations between chromosome  21 & 14 e. Mosaicism",(Ref: Robbins (SEA) 9th/ 161-63) 43.
Chromosomal abnormalities in Down syndrome is/are due to,Ans. (a) Inactivation of X chromosome only in somatic  cell,(Ref: Robbins 9th/ 164-65; Genetics in Medicine by  Thompson 8th/91) 44.
True about Lyonization of X chromosome,"Ans. (d) Marfan?s syndrome.. 47, XYY 45.",No explanation provided.
Which of the following pairs is not correctly matched,Ans. (a) Severe mental retardation,(Ref: R 9th/pg 166-167)   Turners syndrome has normal intelligence and not mental  retardation. 46.
The clinical features of Turner Syndrome in girls include the following except,Ans. (b) Hardy weinberg,"(Ref: Modern Biology, pg 1-108) 47."
"The law ?Relative frequencies of each gene allele tends to remain constant from generation to generation?, was given by",Ans. (a) Co-dominance,(Ref: R 9th/pg 141; 8th/pg 141)   When both alleles of a gene pair contribute to the  phenotype.E.g.: Blood group ?AB? 48.
ABO blood group is an example of,Ans. (a) Glucocerebroside,(Ref: R 9th/pg 151; 8th/pg 151)   The clinical feature and bone marrow feature is typical  of Gauchers disease. This results due to accumulation of  cerebrosideQ inside mononuclear phagocytic cells due to  deficiency of ?-glucocerebrosidase. 49.
"A 48-year-old lady presented with hepatosplenomegaly with pancytopenia. On bone marrow examination, a tissue paper crumpled appearance is seen. Which is the most likely product to have accumulated",Ans. (c) Insertion,(Ref: Robbins 9th/pg 160; 8th/pg 160)   NF1 is associated with hamartomas of the iris termed Lisch  nodules. 50.
Inheritance of Beckers muscular dystrophy is,Ans. (c) XD,(Ref: Robbins 9th/pg 142; 8th/pg 142)   Frame shift mutations occur due to nucleotide deletions  or insertions cause a shift of codon reading frame. 51.
Which of the following is an autosomal dominant metabolic disorder,Ans. (a) Duchenne muscular dystrophy,(Ref: R 9th/pg 142) a. Duchenne muscular dystrophy X-linked recessive b. Hypophostemic rickets X-linked dominant c. Marfans syndrome Autosomal dominant d. Downs syndrome Chromosomal trisomy 52.
Gene responsible for embryogenesis of eye,Ans. (a) Cronkhite Canada syndrome,"(Ref: R 9th/pg 140)   Cronkhite Canada syndrome is non-inherited condition  occurring in old age with features of loss of taste, intestinal  polyps, hair loss and nail growth problem. 53."
PRSS1 gene is on,Ans. (b) PAX3 gene,"(Ref: Robbins 9th/pg 140; 8th/pg 140)   Waardenburg syndrome (WS):  ? Autosomal dominant inherited condition  ? Hypopigmentation of hair, skin, and/or iris of both eyes  (partial albinism); and/or congenital deafness.  ? 4 types: Types I and II are the most common forms of  Waardenburg syndrome, while types III and IV are rare.  ? Mutations in the EDN3, EDNRB, MITF, PAX3, SNAI2, and  SOX10 genes can cause Waardenburg syndrome.  54."
BRCA1 is the most common gene mutated in familial breast cancer. This gene is located on which chromosome,Ans. (d) Type IV,"(Ref: Robbins 9th/pg 140; 8th/pg 140) Classification of Osteogenesis Imperfecta (OI) Type Bone  Fragility Blue  Sclera Abnormal  Dentition Hearing  Loss Inherit- ance I Mild Present Present in  some Present in  most AD II Extreme Present Present in  some Unknown S, rarely  AR III Severe Bluish  at birth Present in  some High  incidence AD, rarely  AR IV Variable Absent Absent  in IVA,  present in  IVB High  incidence AD V Moderate  to severe Absent Absent   AD VI Moderate  to severe Absent Absent   Unknown VII Moderate Absent Absent Absent AR 127 Chapter 5 ? Genetic Disorders Answers with Explanations 55."
"A 20-year-old male presents with mental retardation, large mandible, large everted ears and large testes. What is the most likely diagnosis",Ans. (a) Krabbe?s disease,(Ref: Harrison Chap 363)   Globoid cells are a unique and diagnostic feature of Krabbe  disease which is actually an aggregation of engorged  macrophages in the brain parenchyma and around blood  vessels. 56.
Y chromosome is,Ans. (b) Severe hyperparathyroidism,(Ref: R 9th/pg 141) 57.
Chromosome involved in friedreisch ataxia,Ans. (d) Multiple epiphyseal dysplasia,"(Ref: R 9th/pg 140)   Diseases Caused by Mutations in Collagen Genes  Gene or Enzyme Disease COL1A1/1A2  Osteogenesis imperfecta, type 1 Osteoporosis Ehlers-Danlos syndrome type VII  COL2A1  Severe chondrodysplasias  ? Achondrogenesis II  ? Hypochondrogenesis  ? Stickler?s syndrome Osteoarthritis  COL3A1  Ehlers-Danlos syndrome type IV COL4A3?COL4A6  Alport syndrome  COL7A1  Epidermolysis bullosa, dystrophic  COL10A1  Schmid metaphysial chondrodysplasia Lysyl hydroxylase Ehlers-Danlos syndrome type VI  Procollagen  N-proteinase  Ehlers-Danlos syndrome type VII  Lysyl hydroxylase Menkes disease 58."
"For karyotyping, the dividing cells are arrested by the addition of colchicines in the following mitotic phase",Ans. (c) Hemochromatosis,(Ref: R 9th/pg 141; 8th/pg 141) 59.
The best suited nucleated cell for chromosomal study,Ans. (b) 10,(Ref: Robbins 9th/pg 166; 8th/pg 166) 60.
F body is,Ans. (a) Ataxia telangiectasia,(Ref: R 9th/pg 141; 8th/pg 141) 61.
An example for gain of function mutation is,Ans. (a) x linked recessive,(Ref: R 9th/pg 142; 8th/pg 142) 62.
All are true about Angelman syndrome except,Ans. (a) Hereditary  hypercholesterolemia,(Ref: Robbins 9th/pg 140; 8th/pg 140)   Inheritance pattern of Progressive Muscular Dystrophies Type Inheritance Duchenne?s XR Becker?s XR Limb-girdle AD/AR Emery-Dreifuss XR/AD Congenital AR Myotonia dystrophica AD Facioscapulohumeral AD Oculopharyngeal AD 63.
Frameshift mutation occurs due to,Ans. (a) PAX 6,(Ref: Emery genetics)   The PAX-6 gene locus is a transcription factor for the various  genes and growth factors involved in eye formation. Eye  formation in the human embryo begins at approximately 3  weeks into embryonic development and continues through  the tenth week. 64.
Hypophosphatemic Vit D Resistant Rickets is,Ans. (c) Chr 7q,"(Ref: Robbins 9th/pg 166; 8th/pg 166)  ? Hereditary pancreatitis is characterized by recurrent  attacks of severe acute pancreatitis often beginning in  childhood and ultimately leading to chronic pancreatitis.   ? The disorder is genetically diverse, but the shared  feature of most forms is a defect that increases or  sustains the activity of trypsin. Three genes implicated  in hereditary pancreatitis arePRSS1, SPINK1, and CFTR.   ? Most hereditary cases are due to gain-of-function  mutations in the trypsinogengene (also known as PRSS1)  on chr 7q34 65."
Which of the following is X-linked recessive,Ans. (b) 17,(Ref: Robbins 9th/pg 141; 8th/pg 141) 66.
All the following are Autosomal Dominant EXCEPT a. Cronkhite Canada syndrome,Ans. (c) Fragile X syndrome,(Ref: R 9th/pg 170; 8th/pg 170) 67.
Waardenburg syndrome is due to mutation of,Ans. (c) Acrocentric,(Ref: Emery Genetics) Refer to ans 1) 68.
Which among the following subtypes of Osteogenesis imperfecta is not associated with blue sclera,Ans. (a) 9q,(Ref: Robbins 9th/pg 168; 8th/pg 168) 69.
Globoid cells is a diagnostic feature of,Ans. (b) Metaphase,(Ref: Robbins 9th/pg 158; 8th/pg 159) 70.
Von Recklinghausen?s disease of the bone is caused by,Ans. (b) Lymphocytes,(Ref: Robbins 9th/pg 161; 8th/pg 161) 71.
Which of the following is not due to defect in type II collagen,Ans. (a) Y chromatin,"(Ref: Emery Genetics)   Quinacrine, a fluorescence dye, binds strongly to the Y  chromosome forming a bright fluorescent spot (F body).  This is clearly visible in stained interphase cells from various  tissues from the human maleˇand in mature spermatozoa 72."
Which of the following is inherited autosomal recessive,"Ans. (d) Huntington?s disease  ? In Huntington disease, the trinucleotide repeat mutation  affecting the Huntington gene gives rise to an abnormal  protein, called huntingtin, that is toxic to neurons  causing neurologic deficit 73.",No explanation provided.
RET proto-oncogene is located on which chromosome,Ans. (b) Obesity,(Ref: Clinical Embryology: A Color Atlas and Text; p 34) Contd... Complete Review of Pathology 128 Answers with Explanations 74.
Which of the following is autosomal recessive inherited cancer syndrome,Ans. (a) G banding,(Ref: Robbins 9th/pg 160; 8th/pg 160) 75.
True about autosomal dominant type of inheritance,Ans. (d) Osteogenesis imperfecta,"(Ref: Robbins 9th/pg 160)   In some autosomal dominant disorders, like osteogenesis  imperfectaQ, phenotypically normal parents have more  than one affected child. This is due to germline mosaicism. 76."
Accumulation of cerebral gangliosides occurs due to deficiency of,Ans. (b) 20000?25000,(Ref: Robbins 9th/pg 160; 8th/pg 160) 77.
If parents are carrier for an autosomal recessive disorder. What are the chances of offspring to get affected-,"Ans. (b) 45,YO","(Ref: Robbins 9th/pg 160; 8th/pg 160)   Karyotype 45, YO is never found in live born infants,  presumably because the X chromosome carries genetic  information essential for life. 78."
Type of inheritance in Tuberous sclerosis -,Ans. (c) Complete penetrance,(Ref: Robbins 9th/pg 140)   Complete penetrance is shown by autosomal recessive. 79.
Enzyme deficiency in Hunter disease is,Ans. (d) Type IV,(Ref: Robbins 9th/pg 140; 8th/pg 140) 80.
Which of the following disease is caused by point mutation,Ans. (a) Mental retardation,"(Ref: Robbins 9th/pg 163)   Individuals with the 22q11.2 deletion syndrome have high  risk for psychotic illnesses, such as schizophrenia (25%  cases) and bipolar disorders.    In addition, attention deficit hyperactivity disorder is  seen in 30?35% of affected children. 81."
"In Xeroderma Pigmentosum, defect is in",Ans. (b) a1A-Voltage-dependent calcium channel  subunit,"(Ref: 19th a/pg 451)   Spinocerebellar ataxia type 6 is due to CACNA2A gene  on chromosome 19p13.3, which codes for  a1A-Voltage- dependent calcium channel subunit protein. 82."
Hemophilia is associated with-,Ans. (b) Premutation carrying males cannot transmit  the disease,(Ref: Robbins 9th/pg 140; 8th/pg 140) 83.
"If both parents have sickle cell anemia, then the likelihood of children having the disease is-",Ans. (c) Pyrosequencing,"(Ref: R 9th/pg 140; 8th/pg 140)   Pyrosequencing:  ? Highly sensitive than Sanger sequencing and can detect  even 5% mutated DNA  ? For this reason, it is be used to analyze DNA obtained  from cancer biopsies, in which tumor cells are often  ?contaminated? with large numbers of admixed stromal  cells. 84."
"In an Autosomal Dominant disorder, mother is affected but is heterozygous. Father is normal. What are the chance of disease in children",Ans. (a) Multiplex ligation-Dependent probe  amplification (MLPA),"(Ref: Robbins 9th/pg 177; 8th/pg 179)   Multiplex Ligation-Dependent Probe Amplification (MLPA):  MLPA is a technique which mixes DNA hybridization,  DNA ligation, and PCR amplification to detect deletions  and duplications of any size, including anomalies that  are too large to be detected by PCR and too small to be  identified by FISH. 85."
True statement about inheritance of an X linked recessive trait is -,Ans. (d) 50%  affected if one parent affected,(Ref: Robbins 9th/pg 140; 8th/pg 140) 86.
